,place,latitude,longitude
0,Ciudad de México,19.43,-99.13
1,Colima,19.17,-104.0
2,Sonora,29.33,-110.67
3,Chihuahua,28.5,-106.0
4,San Luis Potosí,22.5,-100.49
5,Querétaro,20.81,-99.88
6,Oaxaca,17.0,-96.5
7,Guerrero,17.67,-100.0
8,Yucatán,20.68,-88.88
9,Durango,24.83,-104.83
10,Michoacán,19.21,-101.88
11,Quintana Roo,19.67,-88.5
12,Tamaulipas,23.99,-98.7
13,Campeche,19.0,-90.5
14,Veracruz,19.33,-96.67
15,Zacatecas,23.08,-103.21
16,Jalisco,20.33,-103.67
17,Guanajuato,20.99,-101.0
18,Baja California,30.03,-115.14
19,Nayarit,22.0,-105.0
20,Puebla,18.83,-98.0
21,Morelos,18.75,-99.0
22,Sinaloa,25.0,-107.5
23,Tlaxcala,19.42,-98.17
24,Nuevo León,26.24,-99.89
25,Estado de México,19.48,-99.69
26,Coahuila,27.33,-102.0
27,Hidalgo,20.5,-99.0
28,Tabasco,18.0,-92.67
